"id","company_id","domain_id","organisation_id","vendor_id","unit_id","branch_id","flow_id","element_type","counter_group_type","counter_group_key","counter_key","model_type","counter_group_lookup","counter_lookup","counter_group_description","counter_description","is_active","created_time","created_by","updated_time","updated_by","extra_info"
29644,13,11,11,11,118,114,121,,,BSC6910GSMGCELLPRIVATEOPTPARA,className,VARIABLE,,,,,false,2026-02-21 00:42:52.717 +0300,,,,
29645,13,11,11,11,118,114,121,,,BSC6900GSMNE,className,VARIABLE,,,,,false,2026-02-21 00:42:52.717 +0300,,,,
29710,13,11,11,11,118,114,121,,,BSC6910GSMBRD,className,VARIABLE,,,,,false,2026-02-21 00:42:52.717 +0300,,,,
29720,13,11,11,11,118,114,121,,,BSC6910GSMDEVIP,fdn,VARIABLE,,,,,false,2026-02-21 00:42:52.717 +0300,,,,
29749,13,11,11,11,118,114,121,,,BSC6910GSMGCELL2GBA1,fdn,VARIABLE,,,,,false,2026-02-21 00:42:52.717 +0300,,,,
15858,13,11,11,11,111,111,111,UNC,UsnFunction,"117440574","128974919",VARIABLE,,,,,true,2026-01-26 15:27:55.985 +0300,,,,
2,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491652",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
3,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491653",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
4,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491654",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
5,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491655",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
6,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491650",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
7,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491651",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
10,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491641",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
11,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491642",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
12,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491643",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
14,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491644",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
16,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491640",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
17,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491649",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
19,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491645",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
10535,13,11,11,11,111,111,111,vePDG,VM,"13653022",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.979 +0300,,,,
20,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385","1929491646",VARIABLE,,,,,true,2026-01-26 15:27:55.962 +0300,,,,
4019,13,11,11,11,111,111,111,vEPSN,NE,"13653026",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.974 +0300,,,,
3731,13,11,11,11,111,111,111,vEPSN,Resource,"13653028",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.974 +0300,,,,
3734,13,11,11,11,111,111,111,vEPSN,Resource,"13653029",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.974 +0300,,,,
3257,13,11,11,11,111,111,111,vEPSN,Resource,"13653030",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.973 +0300,,,,
11525,13,11,11,11,111,111,111,vePDG,VNRS function,"1907953671",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.980 +0300,,,,
11528,13,11,11,11,111,111,111,vePDG,VNRS function,"1907953672",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.980 +0300,,,,
11532,13,11,11,11,111,111,111,vePDG,VNRS function,"1907953673",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.980 +0300,,,,
11529,13,11,11,11,111,111,111,vePDG,VNRS function,"1907953674",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.980 +0300,,,,
11535,13,11,11,11,111,111,111,vePDG,VNRS function,"1907953675",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.980 +0300,,,,
13497,13,11,11,11,111,111,111,vePDG,VNRS Resource Unit,"1907953686",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
13260,13,11,11,11,111,111,111,vePDG,VNRS Resource Unit,"1907953688",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
