Result Time,Granularity Period,Object Name,Reliability,"50331748","50331749","50331750","50331751","50331752","50331753","50361697"
,Minutes,,,None,None,None,None,None,None,None
2025-06-24 14:00,60,"GLLF_LF007_ASTRO/ULoCell:NodeB Function Name=NLF01_39720_LF007_ASTRO, Local Cell ID=44533, Cell Name=N/A",Reliable,0.729,0.706,0.729,0.692,20150,10544,
2025-06-24 14:00,60,"GLLF_LF007_ASTRO/ULoCell:NodeB Function Name=NLF01_39720_LF007_ASTRO, Local Cell ID=44532, Cell Name=N/A",Reliable,1.364,1.246,1.364,1.181,0,0,
2025-06-24 14:00,60,"GLLF_LF007_ASTRO/ULoCell:NodeB Function Name=NLF01_39720_LF007_ASTRO, Local Cell ID=44531, Cell Name=N/A",Reliable,0.235,0.213,0.235,0.201,0,0,
2025-06-24 14:00,60,"GLLF_LF020_DEMIRHAN/ULoCell:NodeB Function Name=NLF01_39733_LF020_DEMIRHAN, Local Cell ID=44582, Cell Name=N/A",Reliable,1.212,1.135,1.212,0.978,302,0,
2025-06-24 14:00,60,"GLLF_LF020_DEMIRHAN/ULoCell:NodeB Function Name=NLF01_39733_LF020_DEMIRHAN, Local Cell ID=44583, Cell Name=N/A",Reliable,0.153,0.124,0.153,0.112,0,0,
2025-06-24 14:00,60,"GLLF_LF020_DEMIRHAN/ULoCell:NodeB Function Name=NLF01_39733_LF020_DEMIRHAN, Local Cell ID=44581, Cell Name=N/A",Reliable,1.592,1.475,1.592,1.361,889,248,
2025-06-24 14:00,60,"GLLF_LF062_LEFKOSA_MERIT/ULoCell:NodeB Function Name=NLF01_39775_LF062_LEFKOSA_MERIT, Local Cell ID=43364, Cell Name=N/A",Reliable,0.119,0.111,0.119,0.108,0,0,
2025-06-24 14:00,60,"GLLF_LF062_LEFKOSA_MERIT/ULoCell:NodeB Function Name=NLF01_39775_LF062_LEFKOSA_MERIT, Local Cell ID=43363, Cell Name=N/A",Reliable,1.599,1.471,1.599,1.101,0,0,
2025-06-24 14:00,60,"GLLF_LF062_LEFKOSA_MERIT/ULoCell:NodeB Function Name=NLF01_39775_LF062_LEFKOSA_MERIT, Local Cell ID=43362, Cell Name=N/A",Reliable,0.469,0.428,0.469,0.403,297,40,
2025-06-24 14:00,60,"GLLF_LF062_LEFKOSA_MERIT/ULoCell:NodeB Function Name=NLF01_39775_LF062_LEFKOSA_MERIT, Local Cell ID=43361, Cell Name=N/A",Reliable,0.712,0.678,0.712,0.653,0,0,
