Result Time,Granularity Period,Object Name,Reliability,"50332578","50332579","50332580","50332581","50332673","50332674","50332675","50332676","50332677","50332678","50332679","50332680","50332681","50332682","50332683","50332684","50332685","50332686","50332687","50332688","50332689","50332690","50332691","50332692","50332693","50332694","50332695","50332696","50332697","50332698","50332699","50332700","50332701","50332702","50332703","50332704","50332705","50332706","50332707","50332708","50332709","50332710","50332711","50332712","50332713","50332714","50332715","50332716","50332717","50332718","50332719","50332720","50332721","50332722","50332723","50332724","50332725","50332726","50332727","50332728","50332729","50332730","50332731","50332732","50332733","50332734","50332735","50332736","50332737","50332738","50332739","50332740","50332741","50332742","50332743","50332744","50332745","50332746","50332747","50332748","50332749","50332750","50332751","50332752","50332753","50332754","50332755","50332756","50332757","50332758","50332759","50332760","50332761","50332762","50332763","50332764","50332765","50332766","50332767","50332768","50332769","50332770","50342578","50342579","50342580","50342581"
,Minutes,,,None,None,None,None,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,None,None,None,None,None,None,None,None,None,None,None,ms,ms,ms,ms,ms,ms,s,s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,None,None,None,None,None,None,None,None,None,None,None,ms,ms,ms,ms,ms,ms,s,s,None,None,None,None
2025-06-24 03:00,60,"GLLF_LF007_ASTRO/NodeBFunction:NodeB Function Name=NLF01_39720_LF007_ASTRO",Reliable,0.401,0.023,0.035,2.583,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6,1.8,12.2
2025-06-24 03:00,60,"GLLF_LF020_DEMIRHAN/NodeBFunction:NodeB Function Name=NLF01_39733_LF020_DEMIRHAN",Reliable,0.167,0.033,0.051,1.951,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,0.4,2.8,25.4
2025-06-24 03:00,60,"GLLF_LF062_LEFKOSA_MERIT/NodeBFunction:NodeB Function Name=NLF01_39775_LF062_LEFKOSA_MERIT",Reliable,0.516,0.071,0.099,3.697,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.6,1.2,17.8
2025-06-24 03:00,60,"GLLF_LF019_DEMIR_MARKET/NodeBFunction:NodeB Function Name=NLF01_39732_LF019_DEMIR_MARKET",Reliable,0.448,0.059,0.094,4.076,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.6,1.6,17.6
2025-06-24 03:00,60,"GLLF_LF055_ITU_SURLARICI/NodeBFunction:NodeB Function Name=NLF01_39768_LF055_ITU_SURLARICI",Reliable,0.649,0.101,0.027,3.988,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.8,0.6,11
2025-06-24 03:00,60,"GLLF_LF058_KERVAN_RESTURANT/NodeBFunction:NodeB Function Name=NLF01_39771_LF058_KERVAN_RESTURANT",Reliable,0.398,0.025,0.079,2.384,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.4,1,13.8
2025-06-24 03:00,60,"GLLF_LF104_YDU_SAGLIK_BILIMLERI/NodeBFunction:NodeB Function Name=NLF01_39817_LF104_YDU_SAGLIK_BILIMLERI",Reliable,0.248,0.039,0.01,2.023,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.6,0.6,9.4
2025-06-24 03:00,60,"SRLF_LF075_METROPOL_2/NodeBFunction:NodeB Function Name=NLF01_39788_LF075_METROPOL_2",Reliable,0.171,0.011,0.023,1.271,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.4,0.8,8.4
