NE Report
Save Time: 06/25/2025 00:01:06
User Name:admin


Total 15051 Records

"NE Name,""NE Type"",""NE IP Address"",""NE MAC Address"",""NE ID"",""Software Version"",""Physical Location"",""Create Time"",""Fiber/Cable Count"",""Running Status"",""Subnet"",""Subnet Path"",""Alias"",""Remarks"",""Patch Version List"",""Customized Column"",""LSR ID"",""Maintenance Status"",""Gateway Type"",""Gateway"",""Optical NE"",""Subrack Type"",""Conference Call"",""Orderwire Phone"",""NE Subtype"""
"T-T050267-RTN3321645_BALKUSAN_TT,""OptiX RTN 910"",""10.174.211.129"",""28-6E-D4-65-78-F3"","" 15-1645"",""V100R006C10SPC610"",""-"",""05/06/2020 18:08:25"",""1"",""Normal"",""KARAMAN_KUCUK_SANAYI"",""ROOT/RTN_SUBNET/AKDENIZ(ANTALYA)/KARAMAN/KARAMAN_KUCUK_SANAYI"",""-"",""HUAWEI IP MW"",""SPH611"",""-"",""10.85.178.42"",""active"",""Gateway"",""T-T050267-RTN3321645_BALKUSAN_TT"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 910"""
"T-T040216-RTN2362691_AKHISAR_TEIAS_REPEATER,""OptiX RTN 950A"",""10.174.138.161"",""04-F9-38-80-4C-19"","" 14-2691"",""V100R020C10SPC500"",""-"",""03/01/2020 19:47:04"",""5"",""Normal"",""MANISA_AKHISAR"",""ROOT/RTN_SUBNET/EGE(IZMIR)/MANISA/MANISA_AKHISAR"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""5462-RTN2362778_AKHISAR_2"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950A"""
"Y3797-RTN2661523_OTOBAN_BALIKLIDERE,""OptiX RTN 905"",""10.209.34.2"",""48-57-02-70-EC-62"","" 13-1523"",""V100R023C10SPC200"",""-"",""05/06/2020 17:10:05"",""1"",""Normal"",""T-T060140-RTN2661165_BLK_MERKEZ_TR"",""ROOT/RTN_SUBNET/GUNEY MARMARA(BURSA)/BALIKESİR/BALIIKESIR_MERKEZ/T-T060140-RTN2661165_BLK_MERKEZ_TR"",""-"",""-"",""-"",""-"",""-"",""active"",""Non-gateway"",""T-T060140-RTN2661165_BLK_MERKEZ_TR"",""-"",""Subrack Type IV"",""-"",""-"",""OptiX RTN 905"""
"3226-RTN2421339_BUYUKSEHIR_ISMERKEZI,""OptiX RTN 905"",""10.209.23.2"",""20-0B-C7-91-86-68"","" 15-1339"",""V100R020C10SPC500"",""-"",""01/11/2017 12:08:28"",""1"",""Normal"",""ORMAN BSC"",""ROOT/RTN_SUBNET/AKDENIZ(ANTALYA)/ANTALYA/ORMAN BSC"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""A3300-RTN2421383_ANTALYA_ORMAN"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"E4143-RTN2420168_HEDEF_ROSE_GARDEN,""OptiX RTN 910"",""10.209.18.130"",""28-6E-D4-F0-CA-1A"","" 15-168"",""V100R006C10SPC610"",""-"",""01/08/2012 02:37:35"",""2"",""Normal"",""TURKLER"",""ROOT/RTN_SUBNET/AKDENIZ(ANTALYA)/ANTALYA/TURKLER"",""-"",""-"",""SPH611"",""-"",""-"",""active"",""Non-gateway"",""K4087-RTN2420163_ALANYA_TT"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 910"""
"E2621-RTN2420578_CRYSTAL_PARAISO_VERDE,""OptiX RTN 910"",""10.209.18.4"",""28-6E-D4-94-30-43"","" 15-578"",""V100R006C10SPC610"",""-"",""01/09/2012 10:14:21"",""1"",""Normal"",""SERIK"",""ROOT/RTN_SUBNET/AKDENIZ(ANTALYA)/ANTALYA/SERIK"",""-"",""-"",""SPH611"",""-"",""-"",""active"",""Non-gateway"",""K4271-RTN2420640_TURKBELENI_2"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 910"""
"B3169-RTN3322055_KONYA_EREGLI_YOL,""OptiX RTN 950"",""10.209.10.2"",""80-B5-75-67-98-28"","" 15-2055"",""V100R023C10SPC200"",""-"",""05/07/2020 11:38:38"",""3"",""Normal"",""SEDIRLER_CD"",""ROOT/RTN_SUBNET/AKDENIZ(ANTALYA)/KONYA/SEDIRLER_CD"",""-"",""-"",""-"",""-"",""-"",""active"",""Non-gateway"",""V7987-RTN3325068_SEDIRLER_CAD"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950"""
"A2604-RTN2321110_GIRNE_1780_SOKAK,""OptiX RTN 910"",""10.209.126.130"",""00-25-9E-82-7B-1A"","" 14-1110"",""V100R006C10SPC610"",""-"",""12/20/2010 12:01:30"",""1"",""Normal"",""T-T040150-RTN3012-BAYRAKLI_75._YIL"",""ROOT/RTN_SUBNET/EGE(IZMIR)/IZMIR/IZMIR_KARSIYAKA/T-T040150-BAYRAKLI_75._YIL/T-T040150-RTN3012-BAYRAKLI_75._YIL"",""-"",""1780-GIRNEBULV.4"",""SPH611"",""-"",""-"",""active"",""Non-gateway"",""2344-RTN232234_ALAYBEY"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 910"""
"K9358-RTN3648754_ISKILIP_MERKEZTEPE,""OptiX RTN 950A"",""10.210.90.2"",""48-46-FB-06-35-C6"","" 17-8754"",""V100R020C10SPC500"",""-"",""12/26/2014 11:35:50"",""6"",""Normal"",""SUNGURLU"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Corum/SUNGURLU"",""-"",""-"",""SPH504"",""-"",""100.85.147.223"",""active"",""Non-gateway"",""4073-RTN3648753_MANASTIR_BELEDIYE"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950A"""
"M2523-RTN4545004_ORDU_GIRESUN_HAVAALANI,""OptiX RTN 905"",""10.210.94.2"",""64-3E-8C-B5-E0-43"","" 17-5004"",""V100R020C10SPC500"",""-"",""06/30/2015 15:59:28"",""1"",""Normal"",""BATLAMA_TT"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Giresun/BATLAMA_TT"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""K7099-RTN4545003_BATLAMA_TT"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
